id;content_object_id;tag_id
2146;414;318
2147;414;319
2148;415;281
2149;415;280
2150;415;25
2151;415;316
2152;415;318
2153;415;319
2154;416;281
2155;416;280
2156;416;25
2157;416;316
2158;416;318
2159;416;319
2167;417;281
2168;420;196
2169;420;320
2170;420;321
2171;420;322
2173;421;315
2174;421;323
2176;422;323
2177;422;315
2179;423;323
2180;423;315
2183;424;327
2185;424;281
2186;421;265
2187;423;265
2188;422;265
2189;424;330
2190;425;67
2191;425;331
2192;425;332
2193;425;333
2194;425;334
2196;426;67
2197;426;331
2198;426;332
2199;426;333
2200;426;334
2201;426;335
2202;427;67
2203;427;331
2204;427;332
2205;427;333
2206;427;334
2208;388;336
2210;417;318
2211;428;339
2212;428;340
2213;429;341
2214;429;342
2215;429;343
2216;429;344
2217;430;344
2218;430;342
2219;430;345
2220;431;346
2221;431;347
2222;432;348
2223;432;349
2224;432;350
2225;432;351
2226;433;348
2227;433;349
2228;433;350
2229;433;351
2230;434;348
2231;434;349
2232;434;350
2233;434;351
2234;435;352
2235;436;353
2236;436;354
2237;437;353
2238;437;354
2239;438;353
2240;438;354
2241;439;353
2242;439;354
2243;440;353
2244;440;354
2245;440;307
2246;440;355
2247;435;356
2248;435;357
2249;435;358
2250;441;359
2251;441;360
2252;441;201
2253;442;359
2254;442;360
2255;442;201
2256;443;359
2257;443;360
2258;443;201
2259;444;359
2260;444;19
2261;444;361
2262;444;211
2263;444;362
2264;445;363
2265;445;55
2266;445;138
2268;446;352
2269;446;81
2270;446;356
2271;446;358
2272;435;81
2273;446;365
2274;445;361
2275;447;366
2276;447;256
2277;448;251
2278;448;367
2279;92;88
2280;61;368
2281;449;369
2282;449;370
2283;449;371
2284;450;369
2285;450;370
2286;450;371
2287;451;369
2288;451;370
2289;451;371
2290;452;369
2291;452;370
2292;452;371
2293;453;369
2294;453;370
2295;453;371
2296;449;372
2297;453;373
2299;452;373
2301;451;376
2302;451;375
2303;450;376
2304;450;375
2305;454;370
2306;454;369
2307;454;371
2308;455;370
2309;455;369
2310;455;371
2311;456;370
2312;456;369
2313;456;371
2314;457;370
2315;457;369
2316;457;371
2317;458;370
2318;458;369
2319;458;371
2320;459;370
2321;459;369
2322;459;371
2323;460;370
2324;460;369
2325;460;371
2326;461;370
2327;461;369
2328;461;371
2329;462;370
2330;462;369
2331;462;371
2332;463;370
2333;463;369
2334;463;371
2335;464;370
2336;464;369
2337;464;371
2338;465;370
2339;465;369
2340;465;371
2341;466;370
2342;466;369
2343;466;371
2344;467;370
2345;467;369
2346;467;371
2347;468;370
2348;468;369
2349;468;371
2350;469;370
2351;469;369
2352;469;371
2353;470;370
2354;470;369
2355;470;371
2356;471;370
2357;471;369
2358;471;371
2359;472;370
2360;472;369
2361;472;371
2362;473;370
2363;473;369
2364;473;371
2365;474;370
2366;474;369
2367;474;371
2368;475;370
2369;475;369
2370;475;371
2371;476;370
2372;476;369
2373;476;371
2374;477;370
2375;477;369
2376;477;371
2377;478;370
2378;478;369
2379;478;371
2380;479;370
2381;479;369
2382;479;371
2383;480;370
2384;480;369
2385;480;371
2386;481;370
2387;481;369
2388;481;371
2389;482;370
2390;482;369
2391;482;371
2392;483;370
2393;483;369
2394;483;371
2395;484;370
2396;484;369
2397;484;371
2398;485;370
2399;485;369
2400;485;371
2401;486;370
2402;486;369
2403;486;371
2404;487;370
2405;487;369
2406;487;371
2407;488;370
2408;488;369
2409;488;371
2410;489;370
2411;489;369
2412;489;371
2413;490;370
2414;490;369
2415;490;371
2416;491;370
2417;491;369
2418;491;371
2419;492;370
2420;492;369
2421;492;371
2422;493;370
2423;493;369
2424;493;371
2425;494;370
2426;494;369
2427;494;371
2428;495;370
2429;495;369
2430;495;371
2431;496;370
2432;496;369
2433;496;371
2434;497;370
2435;497;369
2436;497;371
2437;498;370
2438;498;369
2439;498;371
2440;499;370
2441;499;369
2442;499;371
2443;500;370
2444;500;369
2445;500;371
2446;501;370
2447;501;369
2448;501;371
2449;502;370
2450;502;369
2451;502;371
2452;503;370
2453;503;369
2454;503;371
2455;504;370
2456;504;369
2457;504;371
2458;505;370
2459;505;369
2460;505;371
2461;506;370
2462;506;369
2463;506;371
2464;507;370
2465;507;369
2466;507;371
2467;508;370
2468;508;369
2469;508;371
2470;509;370
2471;509;369
2472;509;371
2473;509;377
2474;508;377
2475;507;377
2476;506;377
2477;505;377
2478;504;375
2479;503;375
2480;502;375
2481;501;378
2482;500;378
2483;496;379
2484;495;376
2485;499;380
2486;498;380
2487;497;384
2488;497;381
2489;497;382
2490;494;384
2491;494;381
2492;494;382
2493;493;385
2494;493;373
2495;492;386
2496;492;381
2497;492;382
2498;489;386
2499;489;381
2500;489;382
2501;488;386
2502;488;381
2503;488;382
2504;487;386
2505;487;381
2506;487;382
2507;485;386
2508;485;381
2509;485;382
2510;484;386
2511;484;381
2512;484;382
2513;486;386
2514;486;381
2515;486;382
2516;491;384
2517;491;387
2518;491;372
2519;490;384
2520;490;372
2521;490;381
2522;490;382
2523;480;372
2524;483;388
2525;482;388
2526;481;388
2527;479;372
2528;478;372
2529;477;372
2530;476;372
2531;475;389
2532;475;390
2533;474;389
2534;474;390
2535;473;389
2536;473;390
2537;472;389
2538;472;390
2539;471;391
2540;470;391
2541;469;391
2542;468;391
2543;467;376
2545;466;376
2546;465;372
2547;463;379
2548;463;372
2549;464;375
2550;462;376
2551;462;393
2552;462;375
2553;460;393
2554;461;376
2555;461;393
2556;461;394
2557;461;375
2558;460;394
2559;457;372
2560;457;375
2561;456;376
2562;452;385
2563;454;385
2564;454;373
2565;459;395
2566;458;395
2567;453;385
2571;510;399
2575;511;399
2576;510;400
2577;510;401
2578;510;403
2579;510;404
2581;510;26
2582;511;400
2583;511;401
2584;511;404
2585;511;406
2586;511;26
2587;510;406
2588;512;25
2589;512;407
2590;512;408
2591;512;409
2592;512;410
2593;513;411
2594;513;412
2595;514;411
2596;514;412
2597;515;411
2598;515;412
2599;516;411
2600;516;412
2601;517;411
2602;517;412
2603;518;411
2604;518;412
2605;519;411
2606;519;412
2607;520;411
2608;520;412
2609;520;403
2610;520;413
2611;520;414
2612;519;416
